order_item_id,order_id,product_id,quantity,price
140,303,678,8,3
487,3322,3617,2,32
540,2042,1610,3,95
743,4885,2598,9,86
790,1833,2552,3,2
920,4822,3249,8,838
992,399,3076,10,9
1285,4728,4372,5,75
1511,3949,1293,5,50
1565,3651,3660,10,13
1678,2573,1632,10,95
1879,820,3806,9,94
1965,2742,3145,6,54
2068,1160,1036,8,93
2127,3354,3171,5,761
2187,2095,3537,2,20
2265,3892,223,8,14
2318,161,1220,10,44
2331,4857,4409,9,71
2933,795,1590,7,51
3129,3641,624,9,82
3471,833,3447,2,52
3807,2438,4108,6,100
4173,52,2717,10,85
4200,1642,4710,1,53
4389,2593,3726,-6,88
4414,545,4291,5,15
4728,2667,4029,10,92
4894,1162,2779,8,42
5169,3131,4646,10,10
5195,2499,4188,6,97
5378,1153,2727,1,100
5386,3759,3435,2,81
5535,1407,2782,8,44
5540,4179,3055,1,87
5882,3945,4744,3,89
5904,1515,4906,-6,43
6223,92,2163,3,50
6485,3984,1211,8,24
6546,1791,3793,1,86
6632,4314,3084,1,75
6987,1555,4361,5,9
7551,690,1908,5,63
7765,3421,2973,4,27
7951,2351,4469,5,34
8038,3402,2280,10,19
8114,2963,2230,10,98
8125,593,937,8,100
8159,2712,4759,5,19
8661,1508,3418,8,91
8682,648,680,2,56
8989,3911,3504,5,95
9496,788,890,7,76
9948,1356,1606,7,17
1,868,1571,7,70
57,3091,4921,2,11
80,3345,1728,2,24
159,3688,146,7,1
219,3536,3414,6,97
353,2397,304,2,77
921,1091,4951,6,11
1104,1582,3114,9,52
1270,859,3787,7,58
1346,1091,4545,1,81
1798,1391,155,7,72
2074,4684,1038,6,39
2189,3857,3831,6,45
2231,835,326,3,73
2544,3685,348,5,44
2651,2871,2413,4,70
2915,3066,3518,9,16
2979,1219,740,1,70
3149,746,1543,2,29
3433,649,3077,9,6
3494,1969,638,3,53
3541,2459,2097,7,68
3555,26,3490,7,91
3617,817,3896,1,15
3697,739,1572,10,43
3746,2683,4495,-4,1
3833,3570,1582,3,35
3840,805,239,8,27
3900,868,369,5,78
4152,3936,861,3,1
4283,2607,1710,7,56
4710,2763,574,6,59
4884,2829,61,7,29
4994,3990,1555,6,69
5081,3041,1697,4,73
5656,2184,4833,9,5
